file,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
data/openmic/audio/121/121855_99840.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/040/040162_84480.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/116/116059_11520.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/115/115766_26880.ogg,0,0,0,0,1,0,0,0,0,0,0
data/openmic/audio/033/033418_276480.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/120/120855_19200.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/101/101042_46080.ogg,0,0,0,0,0,0,1,0,0,0,0
data/openmic/audio/065/065387_249600.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/056/056571_1255680.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/102/102171_65280.ogg,0,0,1,0,0,0,0,0,0,0,0
data/openmic/audio/087/087318_34560.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/114/114554_337920.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/139/139921_38400.ogg,1,0,0,0,0,0,0,0,0,0,0
data/openmic/audio/136/136217_61440.ogg,0,0,0,1,0,0,0,0,0,0,0
data/openmic/audio/014/014169_449280.ogg,0,0,1,0,0,0,0,0,0,0,0
data/openmic/audio/121/121475_96000.ogg,0,0,0,0,0,0,1,0,0,0,0
data/openmic/audio/135/135672_65280.ogg,0,0,1,0,0,0,0,0,0,0,0
data/openmic/audio/116/116235_291840.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/106/106087_111360.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/012/012490_23040.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/022/022200_1397760.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/125/125281_88320.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/037/037017_245760.ogg,0,0,1,0,0,0,0,0,0,0,0
data/openmic/audio/124/124789_372480.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/039/039899_249600.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/058/058746_53760.ogg,0,0,0,0,0,1,0,0,0,0,0
data/openmic/audio/127/127439_238080.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/003/003920_172800.ogg,0,0,0,0,0,0,1,0,0,0,0
data/openmic/audio/122/122617_184320.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/094/094720_142080.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/075/075191_238080.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/132/132032_53760.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/112/112945_30720.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/051/051931_468480.ogg,0,0,0,0,0,0,0,1,0,0,0
data/openmic/audio/085/085474_372480.ogg,1,0,0,0,0,0,0,0,0,0,0
data/openmic/audio/106/106775_1224960.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/009/009343_1751040.ogg,0,0,1,0,0,0,0,0,0,0,0
data/openmic/audio/112/112186_42240.ogg,0,0,0,0,0,1,0,0,0,0,0
data/openmic/audio/023/023277_23040.ogg,0,0,0,1,0,0,0,0,0,0,0
data/openmic/audio/038/038440_69120.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/146/146487_1820160.ogg,0,0,0,0,0,0,0,1,0,0,0
data/openmic/audio/013/013757_226560.ogg,0,0,0,1,0,0,0,0,0,0,0
data/openmic/audio/035/035961_15360.ogg,0,0,0,1,0,0,0,0,0,0,0
data/openmic/audio/105/105937_334080.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/059/059585_19200.ogg,0,0,0,0,0,0,1,0,0,0,0
data/openmic/audio/054/054271_264960.ogg,0,0,0,0,0,0,0,1,0,0,0
data/openmic/audio/095/095753_84480.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/050/050925_3840.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/046/046610_19200.ogg,1,0,0,0,0,0,0,0,0,0,0
data/openmic/audio/092/092740_15360.ogg,0,0,0,0,0,0,1,0,0,0,0
data/openmic/audio/054/054935_69120.ogg,0,1,0,0,0,0,0,0,0,0,0
data/openmic/audio/151/151863_142080.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/153/153906_314880.ogg,1,0,0,0,0,0,0,0,0,0,0
data/openmic/audio/041/041569_34560.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/056/056127_111360.ogg,0,0,1,0,0,0,0,0,0,0,0
data/openmic/audio/039/039896_241920.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/066/066411_2004480.ogg,0,0,1,0,0,0,0,0,0,0,0
data/openmic/audio/120/120432_61440.ogg,1,0,0,0,0,0,0,0,0,0,0
data/openmic/audio/056/056135_11520.ogg,0,0,0,0,0,0,0,1,0,0,0
data/openmic/audio/089/089382_537600.ogg,0,0,0,0,0,0,1,0,0,0,0
data/openmic/audio/068/068211_241920.ogg,0,0,0,0,0,0,0,1,0,0,0
data/openmic/audio/071/071522_34560.ogg,0,0,0,0,0,1,0,0,0,0,0
data/openmic/audio/068/068864_142080.ogg,0,0,1,0,0,0,0,0,0,0,0
data/openmic/audio/019/019225_318720.ogg,1,0,0,0,0,0,0,0,0,0,0
data/openmic/audio/129/129069_30720.ogg,0,0,0,0,0,1,0,0,0,0,0
