file,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
data/openmic/audio/000/000135_483840.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/000/000178_3840.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/000/000182_145920.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/000/000190_126720.ogg,0,0,0,0,0,0,1,0,0,0,0
data/openmic/audio/000/000208_195840.ogg,0,0,0,0,0,0,1,0,0,0,0
data/openmic/audio/000/000237_34560.ogg,0,0,0,0,0,0,0,1,0,0,0
data/openmic/audio/000/000238_226560.ogg,0,1,0,0,0,0,0,0,0,0,0
data/openmic/audio/000/000250_26880.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/000/000253_126720.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/000/000258_3840.ogg,0,0,0,0,0,1,0,0,0,0,0
data/openmic/audio/000/000384_161280.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/000/000386_65280.ogg,0,0,0,0,0,0,0,1,0,0,0
data/openmic/audio/000/000403_0.ogg,0,1,0,0,0,0,0,0,0,0,0
data/openmic/audio/000/000411_30720.ogg,0,0,1,0,0,0,0,0,0,0,0
data/openmic/audio/000/000438_245760.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/000/000439_245760.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/000/000461_218880.ogg,0,0,0,0,0,0,0,0,0,1,0
data/openmic/audio/000/000464_7680.ogg,0,0,0,0,0,0,0,1,0,0,0
data/openmic/audio/000/000504_203520.ogg,0,0,0,0,0,0,1,0,0,0,0
data/openmic/audio/000/000525_119040.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/000/000575_69120.ogg,0,0,0,0,0,0,0,0,0,0,1
data/openmic/audio/000/000587_69120.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/000/000642_295680.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/000/000648_230400.ogg,0,1,0,0,0,0,0,0,0,0,0
data/openmic/audio/000/000655_299520.ogg,0,0,0,0,0,1,0,0,0,0,0
data/openmic/audio/000/000661_253440.ogg,0,0,0,0,0,0,0,0,1,0,0
data/openmic/audio/000/000663_211200.ogg,0,0,1,0,0,0,0,0,0,0,0
