Unnamed: 0,file,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
3992,data/openmic/audio/015/015601_53760.ogg,0,0,0,0,0,0,0,0,0,0,1
40617,data/openmic/audio/151/151388_53760.ogg,0,0,0,0,0,0,0,0,0,1,0
29377,data/openmic/audio/111/111029_218880.ogg,0,0,0,0,0,0,0,0,0,0,1
20283,data/openmic/audio/071/071126_96000.ogg,0,0,0,0,0,0,0,0,0,1,0
28429,data/openmic/audio/107/107547_568320.ogg,0,1,0,0,0,0,0,0,0,0,0
17199,data/openmic/audio/060/060859_76800.ogg,0,1,0,0,0,0,0,0,0,0,0
14231,data/openmic/audio/052/052983_238080.ogg,0,0,0,0,0,0,0,0,1,0,0
13340,data/openmic/audio/050/050269_96000.ogg,0,0,0,0,1,0,0,0,0,0,0
5908,data/openmic/audio/023/023135_92160.ogg,0,0,0,0,0,0,0,0,0,0,1
39982,data/openmic/audio/148/148765_30720.ogg,0,0,0,0,0,0,0,1,0,0,0
38382,data/openmic/audio/143/143074_122880.ogg,0,0,0,0,0,0,0,0,0,0,1
22377,data/openmic/audio/081/081053_76800.ogg,0,0,1,0,0,0,0,0,0,0,0
26910,data/openmic/audio/099/099929_322560.ogg,0,0,0,0,0,1,0,0,0,0,0
16266,data/openmic/audio/058/058925_0.ogg,0,0,0,0,0,1,0,0,0,0,0
29344,data/openmic/audio/110/110701_15360.ogg,0,0,0,0,0,0,1,0,0,0,0
19024,data/openmic/audio/066/066703_7680.ogg,0,0,0,0,0,0,0,0,0,1,0
20231,data/openmic/audio/070/070921_3840.ogg,0,0,0,0,0,0,0,0,1,0,0
32326,data/openmic/audio/120/120732_153600.ogg,0,0,0,0,0,0,0,1,0,0,0
8034,data/openmic/audio/031/031569_0.ogg,0,0,0,0,0,0,0,1,0,0,0
26312,data/openmic/audio/097/097621_288000.ogg,0,0,0,0,0,0,0,0,1,0,0
2017,data/openmic/audio/009/009702_1098240.ogg,0,0,0,0,0,1,0,0,0,0,0
5841,data/openmic/audio/022/022972_157440.ogg,0,0,0,0,0,0,0,1,0,0,0
19005,data/openmic/audio/066/066696_902400.ogg,0,0,0,0,0,0,0,0,0,1,0
12980,data/openmic/audio/048/048789_23040.ogg,0,0,0,0,0,1,0,0,0,0,0
20653,data/openmic/audio/072/072484_272640.ogg,0,0,1,0,0,0,0,0,0,0,0
32166,data/openmic/audio/120/120404_161280.ogg,0,0,0,0,0,0,0,0,1,0,0
15098,data/openmic/audio/056/056072_3840.ogg,0,0,0,0,0,0,0,0,1,0,0
24226,data/openmic/audio/087/087098_107520.ogg,0,0,0,0,0,0,0,0,0,1,0
15622,data/openmic/audio/057/057923_11520.ogg,0,0,0,1,0,0,0,0,0,0,0
24222,data/openmic/audio/087/087090_84480.ogg,0,0,0,0,0,0,1,0,0,0,0
27881,data/openmic/audio/106/106354_591360.ogg,0,0,0,0,0,0,0,1,0,0,0
15062,data/openmic/audio/055/055951_72960.ogg,0,0,0,0,0,0,0,0,0,1,0
6910,data/openmic/audio/027/027356_218880.ogg,0,0,0,0,0,0,0,1,0,0,0
31947,data/openmic/audio/119/119634_203520.ogg,0,0,1,0,0,0,0,0,0,0,0
5899,data/openmic/audio/023/023132_249600.ogg,0,1,0,0,0,0,0,0,0,0,0
20586,data/openmic/audio/072/072328_76800.ogg,1,0,0,0,0,0,0,0,0,0,0
2718,data/openmic/audio/011/011583_172800.ogg,0,0,0,0,0,0,0,0,1,0,0
5962,data/openmic/audio/023/023156_7680.ogg,0,0,0,0,0,0,0,1,0,0,0
16780,data/openmic/audio/059/059770_15360.ogg,1,0,0,0,0,0,0,0,0,0,0
10787,data/openmic/audio/041/041411_218880.ogg,0,0,0,0,0,0,0,0,1,0,0
